,date,orientation_class,sentiment_score,sentence_sentiment,token_sentiment,mean_sentiment,std_sentiment,token_mean,token_std
698,2016-01-20,RIGHT,3,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2, 3, 2, 2, 2, 2, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, 1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299, -0.0363230519480519, -0.0219300144300144, -0.0561666666666666, 0.0428522540640187, 0.0220391986485736, 0.0085034013605442, -0.0257847975372485]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604, 0.0846258055340263, 0.1727058879785957, 0.160535215935805, 0.142977586550194, 0.1160396952138298, 0.0552783061674796, 0.1471416577551553]",2.5,0.12255788388580631
700,2016-01-20,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556]",2.6666666666666665,0.11732006214667409
701,2016-01-20,RIGHT,4,"[2, 3, 3, 3, 3, 2]","[1, 1, -1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604]",2.6666666666666665,0.13725379101609625
702,2016-07-05,RIGHT,1,"[2, 3, 3, 3, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657]",2.625,0.12111410986217641
705,2016-02-22,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048]",2.6363636363636362,0.11998593852931441
708,2016-03-09,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769]",2.7142857142857144,0.12179900026810776
711,2016-02-03,RIGHT,4,"[2, 3, 3, 3, 3, 2]","[1, 1, -1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604]",2.6666666666666665,0.13725379101609625
712,2016-02-03,RIGHT,3,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296]",2.642857142857143,0.12317939026719947
715,2016-05-18,RIGHT,4,"[2, 3, 3, 3, 3, 2]","[1, 1, -1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604]",2.6666666666666665,0.13725379101609625
717,2016-02-25,RIGHT,3,"[2, 3, 3, 3]","[1, 1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348]",2.75,0.1539688653590745
719,2016-09-15,RIGHT,4,"[2, 3, 3, 3, 3]","[1, 1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219]",2.8,0.1351741544253034
720,2016-09-15,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868]",2.6,0.11890215989108537
722,2016-03-02,RIGHT,1,"[2, 3, 3]","[1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687]",2.6666666666666665,0.13359290691208772
724,2016-02-03,RIGHT,4,"[2, 3, 3, 3, 3, 2]","[1, 1, -1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604]",2.6666666666666665,0.13725379101609625
725,2016-02-03,RIGHT,1,"[2, 3, 3, 3, 3]","[1, 1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219]",2.8,0.1351741544253034
726,2016-06-09,RIGHT,4,"[2, 3]","[1, 1]","[0.0128645047762694, 0.0002676039157082]","[0.1066521236134131, 0.1345361964684814]",2.5,0.12059416004094725
728,2016-01-18,RIGHT,4,"[2, 3, 3, 3, 3, 2]","[1, 1, -1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604]",2.6666666666666665,0.13725379101609625
729,2016-06-15,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769]",2.7142857142857144,0.12179900026810776
731,2016-06-15,RIGHT,4,"[2, 3, 3, 3]","[1, 1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348]",2.75,0.1539688653590745
733,2016-06-15,RIGHT,4,"[2, 3, 3, 3, 3, 2]","[1, 1, -1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604]",2.6666666666666665,0.13725379101609625
735,2016-06-15,RIGHT,1,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048]",2.6363636363636362,0.11998593852931441
736,2016-06-15,RIGHT,3,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048]",2.6363636363636362,0.11998593852931441
738,2016-06-15,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2, 3, 2, 2, 2, 2, 2, 3, 2, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, 1, 1, -1, 1, -1, 1, 1, -1, 1, -1, 1, 1, -1, -1, -1, 0, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299, -0.0363230519480519, -0.0219300144300144, -0.0561666666666666, 0.0428522540640187, 0.0220391986485736, 0.0085034013605442, -0.0257847975372485, 0.0355829616155722, -0.0605572838109602, 0.0303643630401162, 0.0213040540188977, -0.0065330647809363, 0.0041213160157796, -0.0931891025641025, 0.0206207482993197, 0.0023163604768731, -0.0513191476733143, -0.0322850395218816, -0.0289595446764564, 0.0, -0.0540064102564102]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604, 0.0846258055340263, 0.1727058879785957, 0.160535215935805, 0.142977586550194, 0.1160396952138298, 0.0552783061674796, 0.1471416577551553, 0.113590380523659, 0.1131080656516526, 0.0826861843165584, 0.0816799379306097, 0.0610878195046896, 0.091181949783226, 0.2115761093392776, 0.1601353829803747, 0.0819458705503406, 0.1788175982345438, 0.0793303566613202, 0.077602258491574, 0.0, 0.0713722393394201]",2.5277777777777777,0.11389965552208291
740,2016-07-06,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657]",2.625,0.12111410986217641
742,2016-03-04,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769]",2.7142857142857144,0.12179900026810776
743,2016-03-04,RIGHT,1,"[2, 3, 3, 3, 3, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556]",2.6666666666666665,0.11732006214667409
744,2016-03-04,RIGHT,1,"[2, 3, 3, 3]","[1, 1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348]",2.75,0.1539688653590745
745,2016-03-04,RIGHT,3,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2, 3, 2, 2, 2, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, 1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299, -0.0363230519480519, -0.0219300144300144, -0.0561666666666666, 0.0428522540640187, 0.0220391986485736, 0.0085034013605442]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604, 0.0846258055340263, 0.1727058879785957, 0.160535215935805, 0.142977586550194, 0.1160396952138298, 0.0552783061674796]",2.5238095238095237,0.1213872279872659
746,2016-03-04,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657]",2.625,0.12111410986217641
747,2016-03-04,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2, 3, 2, 2, 2, 2, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, 1, 1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299, -0.0363230519480519, -0.0219300144300144, -0.0561666666666666, 0.0428522540640187, 0.0220391986485736, 0.0085034013605442, -0.0257847975372485, 0.0355829616155722, -0.0605572838109602]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604, 0.0846258055340263, 0.1727058879785957, 0.160535215935805, 0.142977586550194, 0.1160396952138298, 0.0552783061674796, 0.1471416577551553, 0.113590380523659, 0.1131080656516526]",2.5,0.12179049548596044
748,2016-03-04,RIGHT,4,"[2, 3, 3, 3, 3]","[1, 1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219]",2.8,0.1351741544253034
752,2016-03-04,RIGHT,1,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868]",2.6,0.11890215989108537
753,2016-03-04,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769]",2.7142857142857144,0.12179900026810776
754,2016-03-04,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868]",2.6,0.11890215989108537
755,2016-03-04,RIGHT,1,"[2, 3, 3, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769]",2.7142857142857144,0.12179900026810776
756,2016-03-04,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604]",2.6666666666666665,0.12113128602351018
757,2016-03-04,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657]",2.625,0.12111410986217641
758,2016-03-09,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296]",2.642857142857143,0.12317939026719947
759,2016-05-04,RIGHT,1,"[2, 3, 3, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769]",2.7142857142857144,0.12179900026810776
760,2016-03-15,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868]",2.6,0.11890215989108537
762,2016-03-15,RIGHT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944]",2.6666666666666665,0.1210435761681044
